title,season,episode,color_list,subject,air_date,month
Deep Wilderness Home,22,8,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CABIN', 'CLIFF', 'DECIDUOUS', 'GRASS', 'RIVER', 'TREE', 'TREES', 'WATERFALL']","February 19, 1991",February
Haven in the Valley,22,9,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CABIN', 'CONIFER', 'FRAMED', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'OVAL_FRAME', 'PATH', 'SNOWY_MOUNTAIN', 'STRUCTURE', 'TREE', 'TREES']","February 26, 1991",February
Wintertime Blues,22,10,"['Alizarin Crimson', 'Dark Sienna', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown']","['CLOUDS', 'CONIFER', 'CUMULUS', 'MOUNTAIN', 'MOUNTAINS', 'SNOW', 'TREE', 'TREES', 'WINTER']","March 5, 1991",March
Pastel Seascape,22,11,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BEACH', 'CLOUDS', 'FRAMED', 'OCEAN', 'OVAL_FRAME', 'SUN', 'WAVES']","March 12, 1991",March
Country Creek,22,12,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CONIFER', 'RIVER', 'ROCKS', 'TREE', 'TREES']","March 19, 1991",March
Silent Forest,22,13,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CONIFER', 'GRASS', 'RIVER', 'TREE', 'TREES']","March 26, 1991",March
Frosty Winter Morn,23,1,"['Alizarin Crimson', 'Cadmium Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']","['CABIN', 'CONIFER', 'DECIDUOUS', 'FENCE', 'HILLS', 'SNOW', 'TREE', 'TREES', 'WINTER']","September 3, 1991",September
Forest Edge,23,2,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'DECIDUOUS', 'GRASS', 'PATH', 'TREE', 'TREES']","September 10, 1991",September
Mountain Ridge Lake,23,3,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'CONIFER', 'CUMULUS', 'GRASS', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'TREE']","September 17, 1991",September
Reflections of Gold,23,4,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'DECIDUOUS', 'FRAMED', 'OVAL_FRAME', 'RIVER', 'SNOW', 'SUN', 'TREE', 'TREES']","September 24, 1991",September
Quiet Cove,23,5,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CONIFER', 'DECIDUOUS', 'HILLS', 'LAKE', 'ROCKS', 'TREE', 'TREES']","October 1, 1991",October
Rivers Peace,23,6,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['DECIDUOUS', 'GRASS', 'RIVER', 'TREE', 'TREES', 'WATERFALL']","October 8, 1991",October
At Dawn's Light,23,7,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Midnight Black', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CONIFER', 'DECIDUOUS', 'LAKE', 'PATH', 'TREE', 'TREES']","October 15, 1991",October
Valley Waterfall,23,8,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CONIFER', 'GRASS', 'MOUNTAIN', 'RIVER', 'ROCKS', 'SNOWY_MOUNTAIN', 'TREE', 'WATERFALL']","October 22, 1991",October
Toward Days End,23,9,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CABIN', 'DECIDUOUS', 'FRAMED', 'GRASS', 'OVAL_FRAME', 'RIVER', 'STRUCTURE', 'TREE', 'TREES']","October 29, 1991",October
Falls in the Glen,23,10,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CONIFER', 'DECIDUOUS', 'GRASS', 'MOUNTAIN', 'RIVER', 'TREE', 'TREES', 'WATERFALL']","November 5, 1991",November
Frozen Beauty in Vignette,23,11,"['Bright Red', 'Dark Sienna', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CABIN', 'CONIFER', 'DECIDUOUS', 'LAKE', 'SNOW', 'STRUCTURE', 'TREE', 'TREES', 'WINTER']","November 12, 1991",November
Crimson Tide,23,12,"['Alizarin Crimson', 'Cadmium Yellow', 'Dark Sienna', 'Midnight Black', 'Phthalo Blue', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BEACH', 'CLIFF', 'CLOUDS', 'OCEAN', 'ROCKS', 'SUN', 'WAVES']","November 19, 1991",November
Winter Bliss,23,13,"['Alizarin Crimson', 'Dark Sienna', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown']","['BUSHES', 'DECIDUOUS', 'FRAMED', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'OVAL_FRAME', 'SNOW', 'SNOWY_MOUNTAIN', 'TREE', 'WINTER']","November 26, 1991",November
Gray Mountain,24,1,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CONIFER', 'MOUNTAIN', 'RIVER', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']","January 7, 1992",January
Wayside Pond,24,2,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Dark Sienna', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['DECIDUOUS', 'LAKE', 'TREE', 'TREES']","January 14, 1992",January
Teton Winter,24,3,"['Alizarin Crimson', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White']","['CABIN', 'DECIDUOUS', 'MOUNTAIN', 'SNOW', 'SNOWY_MOUNTAIN', 'STRUCTURE', 'TREE', 'TREES', 'WINTER']","January 21, 1992",January
Little Home in the Meadow,24,4,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Indian Yellow', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Yellow Ochre']","['CABIN', 'CONIFER', 'DECIDUOUS', 'FRAMED', 'GRASS', 'OVAL_FRAME', 'STRUCTURE', 'TREE', 'TREES']","January 28, 1992",January
A Pretty Autumn Day,24,5,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Indian Yellow', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Yellow Ochre']","['CLOUDS', 'CONIFER', 'DECIDUOUS', 'GRASS', 'MOUNTAIN', 'RIVER', 'ROCKS', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']","February 4, 1992",February
Mirrored Images,24,6,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'CONIFER', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'ROCKS', 'TREE', 'TREES']","February 11, 1992",February
Back-Country Path,24,7,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Yellow Ochre']","['BUSHES', 'DECIDUOUS', 'PATH', 'TREE', 'TREES']","February 18, 1992",February
Graceful Waterfall,24,8,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLIFF', 'DECIDUOUS', 'RIVER', 'ROCKS', 'TREE', 'TREES', 'WATERFALL']","February 25, 1992",February
Icy Lake,24,9,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CONIFER', 'DECIDUOUS', 'FRAMED', 'GUEST', 'LAKE', 'OVAL_FRAME', 'SNOW', 'STEVE_ROSS', 'TREE', 'TREES', 'WINTER']","March 3, 1992",March
Rowboat on the Beach,24,10,"['Alizarin Crimson', 'Cadmium Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Sap Green', 'Titanium White', 'Yellow Ochre']","['BEACH', 'BOAT', 'CLOUDS', 'FRAMED', 'GRASS', 'HILLS', 'OCEAN', 'OVAL_FRAME', 'SUN', 'WAVES']","March 10, 1992",March
Portrait of Winter,24,11,"['Alizarin Crimson', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Titanium White']","['BUSHES', 'CONIFER', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'SNOW', 'SNOWY_MOUNTAIN', 'TREE', 'TREES', 'WINTER']","March 17, 1992",March
The Footbridge,24,12,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BRIDGE', 'CONIFER', 'DECIDUOUS', 'GRASS', 'RIVER', 'ROCKS', 'STRUCTURE', 'TREE', 'TREES']","March 24, 1992",March
Snowbound Cabin,24,13,"['Alizarin Crimson', 'Black Gesso', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White']","['CABIN', 'CLOUDS', 'CONIFER', 'DECIDUOUS', 'FENCE', 'SNOW', 'TREE', 'TREES', 'WINTER']","March 31, 1992",March
Hide A Way Cove,25,1,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CONIFER', 'LAKE', 'MOUNTAIN', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']","August 25, 1992",August
Enchanted Falls Oval,25,2,"['Alizarin Crimson', 'Black Gesso', 'Indian Yellow', 'Sap Green', 'Titanium White', 'Yellow Ochre']","['DECIDUOUS', 'FRAMED', 'OVAL_FRAME', 'RIVER', 'TREE', 'TREES', 'WATERFALL']","September 1, 1992",September
Not Quite Spring,25,3,"['Alizarin Crimson', 'Black Gesso', 'Cadmium Yellow', 'Dark Sienna', 'Midnight Black', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CONIFER', 'LAKE', 'MOUNTAIN', 'SNOW', 'SNOWY_MOUNTAIN', 'TREE', 'TREES', 'WINTER']","September 8, 1992",September
Splashes of Autumn,25,4,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['DECIDUOUS', 'LAKE', 'RIVER', 'TREE', 'TREES', 'WATERFALL']","September 15, 1992",September
Summer in the Mountain,25,5,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CLOUDS', 'CONIFER', 'GUEST', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'SNOWY_MOUNTAIN', 'STEVE_ROSS', 'TREE', 'TREES']","September 22, 1992",September
Oriental Falls,25,6,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CONIFER', 'FOG', 'ROCKS', 'TREE', 'TREES', 'WATERFALL']","September 29, 1992",September
Autumn Palette,25,7,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['DECIDUOUS', 'FENCE', 'LAKE', 'TREE', 'TREES']","October 6, 1992",October
Cypress Swamp,25,8,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['DECIDUOUS', 'LAKE', 'TREE']","October 13, 1992",October
Downstream View,25,9,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'CONIFER', 'CUMULUS', 'DECIDUOUS', 'GRASS', 'RIVER', 'ROCKS', 'TREE', 'TREES']","October 20, 1992",October
Just Before the Storm,25,10,"['Alizarin Crimson', 'Cadmium Yellow', 'Dark Sienna', 'Midnight Black', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown']","['CLOUDS', 'FRAMED', 'OCEAN', 'OVAL_FRAME', 'PALM_TREES', 'WAVES']","October 27, 1992",October
Fisherman's Paradise,25,11,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CABIN', 'CONIFER', 'LAKE', 'STRUCTURE', 'SUN', 'TREE', 'TREES']","November 3, 1992",November
Desert Hues,25,12,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CACTUS', 'CIRRUS', 'CLOUDS', 'MOUNTAIN', 'PATH']","November 10, 1992",November
The Property Line,25,13,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'DECIDUOUS', 'FENCE', 'SNOW', 'TREE', 'WINTER']","November 17, 1992",November
In the Stillness of Morning,26,1,"['Alizarin Crimson', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CONIFER', 'FOG', 'GRASS', 'RIVER', 'TREE', 'TREES']","December 1, 1992",December
Delightful Meadow Home,26,2,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Indian Yellow', 'Midnight Black', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Yellow Ochre']","['CABIN', 'DECIDUOUS', 'FENCE', 'GRASS', 'PATH', 'STRUCTURE', 'TREE', 'TREES']","December 8, 1992",December
First Snow,26,3,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'CONIFER', 'GRASS', 'MOUNTAIN', 'SNOW', 'SNOWY_MOUNTAIN', 'TREE', 'TREES', 'WINTER']","December 15, 1992",December
Lake in the Valley,26,4,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'DECIDUOUS', 'GRASS', 'LAKE', 'MOUNTAIN', 'PATH', 'SNOWY_MOUNTAIN', 'SUN', 'TREE', 'TREES']","December 22, 1992",December
A Trace of Spring,26,5,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CONIFER', 'DECIDUOUS', 'FLOWERS', 'GRASS', 'RIVER', 'TREE', 'TREES']","December 29, 1992",December
An Arctic Winter Day,26,6,"['Alizarin Crimson', 'Dark Sienna', 'Midnight Black', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown']","['CABIN', 'CLOUDS', 'CONIFER', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'SNOW', 'SNOWY_MOUNTAIN', 'STRUCTURE', 'TREE', 'TREES', 'WINTER']","January 5, 1993",January
Snow Birch,26,7,"['Black Gesso', 'Indian Yellow', 'Phthalo Blue', 'Prussian Blue', 'Titanium White']","['DECIDUOUS', 'LAKE', 'SNOW', 'TREE', 'TREES', 'WINTER']","January 12, 1993",January
Early Autumn,26,8,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CONIFER', 'DECIDUOUS', 'FRAMED', 'GRASS', 'LAKE', 'MOUNTAIN', 'OVAL_FRAME', 'TREE', 'TREES']","January 19, 1993",January
Tranquil Wooded Stream,26,9,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['DECIDUOUS', 'RIVER', 'ROCKS', 'TREE', 'TREES']","January 26, 1993",January
Purple Mountain Range,26,10,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']",[],"February 2, 1993",February
Storm's A Comin,26,11,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Titanium White', 'Van Dyke Brown']","['BEACH', 'CLOUDS', 'CUMULUS', 'HILLS', 'OCEAN', 'ROCKS', 'WAVES']","February 9, 1993",February
Sunset Aglow,26,12,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'CONIFER', 'LAKE', 'MOUNTAIN', 'TREE', 'TREES']","February 16, 1993",February
Evening at the Falls,26,13,"['Black Gesso', 'Cadmium Yellow', 'Liquid Clear', 'Midnight Black', 'Prussian Blue', 'Sap Green', 'Titanium White']","['CONIFER', 'NIGHT', 'RIVER', 'TREE', 'TREES', 'WATERFALL']","February 23, 1993",February
Twilight Beauty,27,1,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Titanium White', 'Van Dyke Brown']","['CONIFER', 'DECIDUOUS', 'FOG', 'FRAMED', 'LAKE', 'OVAL_FRAME', 'SUN', 'TREE', 'TREES']","March 2, 1993",March
Angler's Haven,27,2,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Liquid Black', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CONIFER', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'ROCKS', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']","March 9, 1993",March
Rustic Winter Woods,27,3,"['Alizarin Crimson', 'Cadmium Yellow', 'Indian Yellow', 'Midnight Black', 'Sap Green', 'Titanium White']","['DECIDUOUS', 'SNOW', 'SUN', 'TREE', 'TREES', 'WINTER']","March 16, 1993",March
Wilderness Falls,27,4,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Liquid Black', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CLOUDS', 'CONIFER', 'GRASS', 'MOUNTAIN', 'MOUNTAINS', 'RIVER', 'ROCKS', 'TREE', 'TREES', 'WATERFALL']","March 23, 1993",March
Winter at the Farm,27,5,"['Alizarin Crimson', 'Dark Sienna', 'Liquid Clear', 'Midnight Black', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown']","['CONIFER', 'FARM', 'FENCE', 'SNOW', 'STRUCTURE', 'TREE', 'TREES', 'WINTER']","March 30, 1993",March
Daisies at Dawn,27,6,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Indian Yellow', 'Midnight Black', 'Sap Green', 'Titanium White', 'Yellow Ochre']","['CABIN', 'CONIFER', 'DECIDUOUS', 'FLOWERS', 'FRAMED', 'LAKE', 'OVAL_FRAME', 'STRUCTURE', 'TREE', 'TREES']","April 6, 1993",April
A Spectacular View,27,7,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CABIN', 'CLOUDS', 'CONIFER', 'CUMULUS', 'MOUNTAIN', 'MOUNTAINS', 'PATH', 'STRUCTURE', 'TREE', 'TREES']","April 13, 1993",April
Daybreak,27,8,"['Alizarin Crimson', 'Cadmium Yellow', 'Dark Sienna', 'Midnight Black', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown']","['CABIN', 'CONIFER', 'DECIDUOUS', 'FENCE', 'FOG', 'SNOW', 'STRUCTURE', 'TREE', 'TREES', 'WINTER']","April 20, 1993",April
Island Paradise,27,9,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BEACH', 'CLOUDS', 'FRAMED', 'HILLS', 'OCEAN', 'OVAL_FRAME', 'PALM_TREES', 'ROCKS', 'WAVES']","April 27, 1993",April
Sunlight in the Shadows,27,10,"['Alizarin Crimson', 'Black Gesso', 'Liquid Clear', 'Midnight Black', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'DECIDUOUS', 'GRASS', 'GUEST', 'RIVER', 'SUN', 'TREE', 'TREES']","May 4, 1993",May
Splendor of a Snowy Winter,27,11,"['Alizarin Crimson', 'Dark Sienna', 'Liquid Black', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown']","['CABIN', 'CONIFER', 'DECIDUOUS', 'MOUNTAIN', 'SNOW', 'SNOWY_MOUNTAIN', 'STRUCTURE', 'TREE', 'TREES', 'WINTER']","May 11, 1993",May
Forest River,27,12,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['DECIDUOUS', 'GRASS', 'RIVER', 'SUN', 'TREE', 'TREES']","May 18, 1993",May
Golden Glow of Morning,27,13,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Yellow Ochre']","['CONIFER', 'FOG', 'LAKE', 'ROCKS', 'SUN', 'TREE', 'TREES']","May 20, 1993",May
